20160120144935,145.100.102.137,33137,145.100.102.137,5001,3,0.0-10.0,1017920610,814335917
20160120144935,145.100.102.137,5001,145.100.102.137,33137,3,0.0-10.0,1007623260,806111263,0.001,7004,692462,1.011,1
20160120145006,145.100.102.137,54922,145.100.102.137,5001,3,0.0-10.0,69756387328,55804981510
20160120145053,20160120145103,ams,lju, 10,12.80,15,1.95
20160120145409,20160120145419,BM,,,10,12.85,16,1.67
